,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
498,0.090989,8907,HIP 6878,6878,0.505,3.99,0.268,-4.5,3.0,,8.94,Svalues,22.1432,42.2677,95,191770861,22.14316790499,42.26769135614,42.267,22.143,0,6878,2821-02360-1,662-006172,01283434+4216038,,J012834.41+421602.8,396341196983414272,,,STAR,tmgaia2,tmgaia2,52.6,0.074,-97.634,0.09,gaia2,30.1042,0.0454,gaia2,7.147,0.023,6.667,0.023,,,,,,,,,,,5.686,0.023,5.485,0.018,5.422,0.016,AAA-111-111-000-0-0,5.443,0.159,5.256,0.054,5.441,0.014,5.321,0.03,6.52565,0.00045,6.176,0.006,gbprp,spect,6271.0,102.5,4.3728,0.0796,0.05,0.1,1.191,0.044,1.22,0.187,0.7227,0.1546,DWARF,1.97539,0.07298,33.1861,0.0504,0.0,0.0,128,0.0222,,,0.006107,0.0,0.0,,0.171,0.203,0.048,0.041,0.1419,0.1673,0.0822,0.0771,0.08105,0.0649,0.0503,0.0505,bj2018,135.6,69.5,spect,6.80461,0.002451,6.14214,0.004103,1,sirful,tycho2b3,,1.22335561287,1.40128287715,22.14347394594,42.26727098837,0.04014670823,0.03777039996,1,0,20661986
499,0.118177,8997,HIP 6917,6917,0.966,5.92,0.567,,,,,Svalues,22.2704,21.7232,96,381316671,22.27040393878,21.72316737767,22.273,21.722,90,6917,1204-01101-1,559-002962,01290489+2143234,,,288781167053300480,44901330,,STAR,tmgaia2,tmgaia2,460.032,0.24,-183.762,0.205,gaia2,42.7464,0.1156,gaia2,8.701,0.09,7.735,0.011,,,,,,,,,,,5.933,0.019,5.445,0.026,5.366,0.02,AAA-111-111-000-0-0,,,,,,,,,7.42011,0.000536,6.815,0.006,gbprp,gaia2,4822.0,128.7,4.3146,0.0929,,,1.018,0.072,0.78,0.093,0.7391,0.1983,DWARF,0.50487,0.01802,23.3782,0.0637,0.0,0.0,44,0.0901,,,0.006565,0.0,0.0,,0.074,0.112,0.065,0.078,0.1547,0.242,0.0766,0.1091,0.01437,0.02167,0.0635,0.0639,bj2018,104.5,152.9,dered0,7.96542,0.002537,6.77468,0.002222,1,mermil,mermil,,3.78239085703,3.17576960682,22.27253604816,21.72237619381,0.10300107535,0.0900377064,1,0,20845955
500,0.147026,9070,HIP 6978,6978,0.71,4.78,0.195,-4.85,27.0,,9.51,Svalues,22.464,31.0073,97,44634692,22.464024249,31.00733515666,31.007,22.465,0,6978,2292-00876-1,606-004001,01295133+3100263,,J012951.54+310026.4,315377872293129344,49683296,,STAR,tmgaia2,tmgaia2,227.777,0.103,1.004,0.081,gaia2,23.0594,0.0477,gaia2,8.974,0.119,7.93,0.03,,,,,,,,,,,6.682,0.02,6.421,0.023,6.344,0.023,AAA-111-111-000-0-0,6.292,0.08,6.274,0.025,6.356,0.015,6.327,0.049,7.75003,0.000346,7.299,0.006,gbprp,spect,5655.5,105.4,4.3538,0.0739,0.3159,0.0257,1.102,0.046,1.0,0.128,0.7476,0.1466,DWARF,1.11894,0.02589,43.3121,0.0903,0.0,0.0,56,0.0052,,,0.005545,0.0,0.0,,0.124,0.132,0.034,0.057,0.1604,0.1328,0.0934,0.0544,0.02906,0.02272,0.0901,0.0904,bj2018,113.9,97.0,spect,8.12668,0.003484,7.26518,0.002651,1,hipvmag,apassdr9,,1.65785772366,1.2574156934,22.46516846202,31.00733948409,0.0504302567,0.03786642977,1,0,20625763
501,0.147927,9280,HIP 7080,7080,0.76,4.22,0.145,-5.12,42.0,,9.92,Svalues,22.8081,-10.8965,98,136842430,22.80810992311,-10.89653991874,22.808,-10.896,90,7080,5274-00261-1,396-001817,01311394-1053475,,J013113.96-105347.1,2458621356779671552,5075633,,STAR,tmgaia2,tmgaia2,21.188,0.154,35.146,0.061,gaia2,17.2766,0.0618,gaia2,8.708,0.045,8.03,0.03,,,,,,,,,,,6.796,0.023,6.525,0.031,6.4,0.021,AAA-111-111-000-0-0,6.356,0.082,6.317,0.024,6.413,0.015,6.303,0.052,7.84994,0.000319,7.393,0.006,gbprp,spect,5676.6,145.9,4.155,0.0825,0.342,0.0264,1.392,0.082,1.01,0.127,0.3743,0.0886,DWARF,1.8133,0.04819,57.786,0.208,0.0,0.0,18,0.0089,,,0.003804,0.0,0.0,,0.112,0.142,0.076,0.088,0.0764,0.1008,0.0967,0.0682,0.05839,0.03799,0.2073,0.2087,bj2018,163.7,128.1,spect,8.23032,0.00134,7.35721,0.00262,1,hipvmag,apassdr9,,2.39239727567,0.94050870244,22.80820282597,-10.8963885944,0.06338426729,0.03426409184,1,0,515673880
502,0.150694,9224,HIP 7090,7090,0.622,4.15,0.168,-4.93,20.0,,9.64,Svalues,22.8314,29.4131,99,18224448,22.83135331988,29.41309006394,29.413,22.832,0,7090,1755-01356-1,598-003865,01311949+2924473,,J013119.66+292446.3,297159754894750848,47954739,,STAR,tmgaia2,tmgaia2,178.103,0.08,-87.622,0.098,gaia2,22.9032,0.0753,gaia2,7.888,0.14,7.27,0.05,,,,,,,,,,,6.142,0.019,5.881,0.021,5.824,0.016,AAA-111-111-000-0-0,5.859,0.128,5.741,0.043,5.853,0.015,5.79,0.035,7.15975,0.000354,6.744,0.006,gbprp,spect,5865.3,113.9,4.2064,0.07,0.0,0.03,1.344,0.059,1.06,0.129,0.4364,0.085,DWARF,1.92675,0.05237,43.6077,0.1443,0.0,0.0,54,0.0004,,,0.004518,0.0,0.0,,0.127,0.131,0.055,0.062,0.0773,0.0927,0.0689,0.0712,0.04954,0.05519,0.1439,0.1447,bj2018,82.9,144.8,spect,7.50496,0.003493,6.71406,0.004601,1,mermil,mermil,,1.28108528712,1.5210283371,22.83223362171,29.41271280716,0.05839433546,0.04383529415,1,0,20616285
503,0.14896,9312,HIP 7143,7143,0.929,2.95,0.267,,,,,Svalues,23.013,16.9472,100,47067158,23.01303059131,16.94722925411,23.014,16.946,90,7143,1198-01596-1,535-002730,01320312+1656503,,J013203.22+165648.1,2592750264855961600,42819020,,STAR,tmgaia2,tmgaia2,121.741,0.25,-195.626,0.17,gaia2,16.9702,0.1054,gaia2,7.743,0.02,6.781,0.023,,,,,,,,,,,5.09,0.018,4.684,0.02,4.745,0.274,AAD-113-111-000-0-0,4.504,0.235,4.347,0.087,4.561,0.015,4.508,0.027,6.51987,0.00043,5.957,0.006,gbprp,gaia2,5026.0,123.0,,,,,3.484,,,,,,GIANT,,,58.8305,0.3676,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.3653,0.3699,bj2018,,,dered0,7.02321,0.002153,5.92656,0.005749,1,sirful,tycho2b3,,3.92147899673,2.63942120078,23.0135785498,16.94638697622,0.10168167921,0.08152016246,0,0,21528039
504,0.165,9331,HIP 7221,7221,0.71,4.87,0.151,-5.07,34.0,,9.85,Svalues,23.259,53.0338,101,308440242,23.25903071489,53.03375805317,53.034,23.261,0,7221,3670-01681-1,716-012064,01330212+5302013,,J013302.41+530201.6,407441733236422912,,,STAR,tmgaia2,tmgaia2,219.822,0.103,13.422,0.076,gaia2,18.0103,0.0515,gaia2,9.133,0.027,8.41,0.03,,,,,,,,,,,7.13,0.02,6.827,0.024,6.788,0.018,AAA-111-111-000-0-0,6.701,0.061,6.734,0.021,6.765,0.016,6.709,0.063,8.22464,0.000255,7.765,0.006,gbprp,spect,5608.4,103.6,4.3088,0.0712,0.1804,0.024,1.155,0.049,0.99,0.126,0.6432,0.1261,DWARF,1.18828,0.02832,55.4355,0.1595,0.0,0.0,372,0.0274,,,0.00051,0.0,0.0,,0.082,0.169,0.037,0.06,0.1111,0.1411,0.0846,0.0578,0.02389,0.03275,0.1591,0.16,bj2018,107.6,99.5,spect,8.6015,0.000981,7.72281,0.000743,1,hipvmag,tycho2b3,,1.78521497024,1.17085966599,23.26060461479,53.03381585401,0.04587457344,0.03477958871,1,0,21612966
505,0.170215,9540,HIP 7235,7235,0.766,5.52,0.3,-4.6,20.0,,9.13,Svalues,23.3159,-24.178,102,55857787,23.3158725415,-24.17795989888,23.317,-24.179,90,7235,6426-01229-1,330-001709,01331578-2410405,,,5038817840251308032,10131607,,STAR,tmgaia2,tmgaia2,272.317,0.07,-158.603,0.029,gaia2,51.8965,0.0376,gaia2,7.727,0.023,6.97,0.03,,,,,,,,,,,5.694,0.037,5.269,0.029,5.157,0.016,AAA-111-111-000-0-0,,,,,,,,,6.76254,0.000181,6.277,0.006,gbprp,spect,5417.0,153.2,4.5511,0.0929,-0.07,0.1,0.851,0.056,0.94,0.126,1.524,0.4203,DWARF,0.56211,0.01451,19.2584,0.0141,0.0,0.0,28,0.0001,,,0.010051,0.0,0.0,,0.094,0.158,0.051,0.06,0.3801,0.4606,0.0769,0.1088,0.01259,0.01642,0.0141,0.014,bj2018,150.9,155.6,spect,7.17341,0.000794,6.24073,0.001054,1,hipvmag,tycho2b3,,1.10664026834,0.44796449418,23.31715775974,-24.1786427783,0.02981564586,0.01744978651,1,0,515917103
506,0.134503,9472,HIP 7244,7244,0.666,5.02,0.308,-4.51,10.0,,8.97,Svalues,23.3293,23.9756,103,18251910,23.329276062,23.97556970954,23.976,23.329,0,7244,1749-01402-1,570-003306,01331902+2358321,,J013319.02+235832.3,291701396922348672,45426416,,STAR,tmgaia2,tmgaia2,-2.078,0.087,29.065,0.079,gaia2,30.2479,0.0556,gaia2,8.309,0.024,7.63,0.03,,,,,,,,,,,6.411,0.024,6.107,0.024,6.036,0.021,AAA-111-111-000-0-0,6.044,0.104,5.959,0.036,6.058,0.015,5.954,0.04,7.46446,0.000626,7.028,0.006,gbprp,spect,5751.0,108.4,4.5202,0.0721,-0.04,0.1,0.923,0.04,1.03,0.125,1.3084,0.2509,DWARF,0.84023,0.02129,33.0287,0.0611,0.0,0.0,50,0.003,,,0.00745,0.0,0.0,,0.107,0.143,0.051,0.03,0.2347,0.2671,0.0775,0.0667,0.01673,0.02584,0.061,0.0612,bj2018,104.8,112.0,spect,7.82538,0.002986,6.99369,0.002105,1,hipvmag,tycho2b3,,1.38034098554,1.23232984527,23.3292662687,23.97569484923,0.0486094912,0.03959604056,1,0,21520466
507,0.171079,9562,HIP 7276,7276,0.639,3.39,0.135,-5.19,28.0,,10.01,Svalues,23.4285,-7.0253,104,29845542,23.42848064113,-7.02534346454,23.429,-7.026,90,7276,4687-02318-1,415-001893,01334282-0701311,,J013342.97-070132.2,2477891500647336960,,,STAR,tmgaia2,tmgaia2,174.962,0.213,-82.715,0.106,gaia2,33.6309,0.1231,gaia2,6.392,0.021,5.758,0.023,,,,,,,,,,,4.627,0.029,4.391,0.015,4.258,0.018,AEA-111-111-000-0-0,4.239,0.295,3.877,0.147,4.296,0.014,4.256,0.026,5.60128,0.001769,5.184,0.006,gbprp,spect,5837.0,98.3,3.903,0.0695,0.21,0.1,1.897,0.073,1.05,0.13,0.1538,0.0286,DWARF,3.7643,0.1041,29.7097,0.1095,0.0,0.0,43,0.0012,,,0.003041,0.0,0.0,,0.099,0.162,0.081,0.065,0.0286,0.0286,0.0708,0.0683,0.08819,0.12001,0.1091,0.1099,bj2018,103.8,92.8,spect,5.93373,0.002979,5.13934,0.004424,1,sirful,tycho2b3,,3.3170751546,1.64670665821,23.42923964826,-7.02569959918,0.10776290562,0.06025191598,1,0,515880525
508,0.12814,9407,HIP 7339,7339,0.686,4.91,0.16,-5.01,30.0,,9.76,Svalues,23.6386,68.9481,105,398018469,23.63860162237,68.94813558973,68.949,23.634,0,7339,4297-01087-1,795-005187,01343317+6856535,,,532057254394731776,,,STAR,tmgaia2,tmgaia2,-378.267,0.036,114.72,0.038,gaia2,47.4926,0.0265,gaia2,7.207,0.021,6.524,0.023,,,,,,,,,,,5.296,0.018,4.941,0.021,4.888,0.018,AAA-111-111-000-0-0,,,,,,,,,6.33682,0.000265,5.885,0.006,gbprp,spect,5672.0,141.9,4.4257,0.0818,0.01,0.1,1.019,0.056,1.01,0.125,0.9535,0.2166,DWARF,0.96893,0.02331,21.0431,0.0119,0.0,0.0,517,0.0068,,,0.000969,0.0,0.0,,0.11,0.141,0.059,0.053,0.2075,0.2257,0.0927,0.071,0.02494,0.02168,0.0119,0.0118,bj2018,107.0,176.7,spect,6.71047,0.00168,5.84689,0.001359,1,sirful,tycho2b3,,0.67836505247,0.59705078519,23.63406768258,68.9486295832,0.02038409948,0.02081035191,1,0,21795482
509,0.262182,9770,HIP 7372,7372,0.909,5.24,0.508,,,,,Svalues,23.7542,-29.9103,106,32268776,23.75419955203,-29.91037282735,23.755,-29.91,90,7372,6428-01616-1,301-001657,01350102-2954373,,J013501.15-295435.7,5022972468946212864,14896975,,STAR,gaia2,gaia2,168.565,0.742,119.442,0.495,gaia2,38.4341,0.6649,gaia2,7.973,0.091,7.11,0.03,,,,,,,,,,,5.34,0.023,4.973,0.076,4.69,0.018,AEA-111-111-d00-0-0,4.521,0.253,4.263,0.096,4.59,0.014,4.526,0.026,6.81635,0.00092,6.215,0.006,gbprp,spec7,4867.0,80.0,,,,,,,,,,,,,,26.014,0.4536,0.0,0.0,,,SPLIT,,,0.0,0.0,,,,,,,,,,,,0.4459,0.4613,bj2018,,,spect,7.32978,0.002821,6.14616,0.003574,0,hipvmag,apassdr9,,11.90811271802,7.67866987151,23.75503683924,-29.90985856583,0.41322263843,0.41184083002,-1,0,515890252
512,0.144542,9518,SAO 11842,,0.48,,0.132,-5.12,8.0,,9.92,Svalues,23.7563,60.7793,107,389979839,23.75632145625,60.77926123983,60.779,23.757,0,,4031-00574-1,754-018288,01350151+6046454,,J013501.67+604645.1,509868109012678016,,,STAR,tmgaia2,tmgaia2,110.642,0.032,-21.774,0.04,gaia2,7.649,0.0279,gaia2,9.07,0.025,8.555,0.002,,,,,,,,,,,7.566,0.032,7.321,0.044,7.311,0.023,AAA-111-111-000-0-0,7.263,0.031,7.303,0.019,7.32,0.018,7.327,0.112,8.4421,0.000187,8.084,0.006,rered,spect,6152.0,107.5,3.8854,0.1001,0.12,0.1,2.043,0.168,1.169,0.162,0.1371,0.036,DWARF,5.38524,0.74609,130.245,0.477,0.0122,0.0426,947,0.4965,,,0.00019,0.0089,0.0763,panstarrs,0.134,0.19,0.126,0.21,0.0372,0.0348,0.1144,0.0859,0.53561,0.95658,0.475,0.479,bj2018,125.4,89.6,spect,8.7221,0.000871,8.04283,0.000799,1,tycho2v3,tycho2b3,,0.57098879706,0.62503333273,23.75729728399,60.77916749463,0.01897705707,0.02051706403,1,0,21754185
513,0.057557,,SAO 11844,,0.49,,0.146,-5.0,8.0,,9.74,Svalues,23.7811,60.7816,108,389979850,23.78107481705,60.78161022278,60.782,23.782,0,,4031-00552-1,754-018304,01350745+6046539,,J013507.61+604653.6,509868216403955200,,,STAR,tmgaia2,tmgaia2,111.515,0.029,-21.674,0.039,gaia2,7.7346,0.0278,gaia2,9.591,0.029,9.068,0.002,,,,,,,,,,,8.121,0.032,7.877,0.044,7.849,0.026,AAA-111-111-000-0-0,7.802,0.026,7.841,0.02,7.87,0.021,8.205,0.24,8.96757,0.000252,8.61,0.006,rered,gaia2,6315.0,134.0,4.1756,0.082,,,1.508,0.067,1.243,0.181,0.3623,0.0804,DWARF,3.25899,0.16036,128.81,0.4645,0.0153,0.0114,924,0.6565,,,0.000237,0.0083,0.0145,panstarrs,0.131,0.23,0.061,0.073,0.0723,0.0884,0.0769,0.0871,0.13998,0.18073,0.463,0.466,bj2018,128.6,139.4,dered,9.24541,0.0008,8.56776,0.000625,1,tycho2v3,tycho2b3,,0.52381926898,0.59770014905,23.78205841644,60.78151690733,0.01747542321,0.01953428344,1,0,21754196
515,0.174331,9826,HIP 7513,7513,0.536,3.45,0.146,-5.04,12.0,,9.8,Svalues,24.1993,41.4055,109,189576919,24.19934213464,41.40546330856,41.404,24.198,0,7513,2822-02210-1,,01364784+4124200,,,348020448377061376,,,STAR,tmgaia2,tmgaia2,-172.248,0.522,-382.898,0.543,gaia2,74.5711,0.3491,gaia2,4.625,0.021,4.096,0.023,,,,,,,,,,,3.175,0.21,2.957,0.178,2.859,0.274,CCD-333-111-000-0-0,,,,,,,,,3.98687,0.008937,3.614,2.192,gbprp,spect,6105.5,139.2,4.0709,0.0842,0.1014,0.01,1.636,0.082,1.15,0.155,0.2624,0.0606,DWARF,3.35283,0.11817,13.4054,0.0632,0.0,0.0,95,0.0013,,,0.00413,0.0,0.0,,0.144,0.165,0.058,0.106,0.0508,0.0704,0.0737,0.0947,0.13339,0.10296,0.0629,0.0635,bj2018,151.1,127.3,spect,4.25542,4.25542,3.54818,0.00492,1,sirful,tycho2b3,,8.65615811307,8.41635243671,24.19835336681,41.40381472417,0.28152639544,0.28319761998,1,0,22490325
516,0.199169,10002,HIP 7539,7539,0.83,5.51,0.161,-5.04,45.0,,9.81,Svalues,24.2859,-29.3933,110,97470730,24.28594774119,-29.39326352197,24.287,-29.394,90,7539,6428-01595-1,304-001573,01370861-2923358,,,5023104341621413888,13882757,,STAR,tmgaia2,tmgaia2,285.673,0.088,-70.19,0.04,gaia2,29.2893,0.042,gaia2,8.921,0.039,8.14,0.03,,,,,,,,,,,6.684,0.02,6.336,0.034,6.211,0.02,AAA-111-111-000-0-0,,,,,,,,,7.91301,0.000262,7.394,0.006,gbprp,spect,5279.7,149.5,4.4485,0.0923,0.1738,0.0166,0.943,0.063,0.91,0.115,1.0869,0.2901,DWARF,0.6219,0.01614,34.1086,0.0492,0.0,0.0,21,0.0003,,,0.007457,0.0,0.0,,0.108,0.122,0.072,0.054,0.2433,0.3368,0.0885,0.0962,0.01783,0.01445,0.0492,0.0493,bj2018,139.0,160.0,spect,8.35554,0.000797,7.35204,0.001006,1,hipvmag,apassdr9,,1.40692074207,0.62464954163,24.28735944919,-29.39356573592,0.03309672873,0.02263644442,1,0,516143268
517,0.173478,9939,HIP 7564,7564,0.9,3.87,0.201,-4.94,44.0,,9.66,Svalues,24.3546,25.1678,111,353803599,24.35455917257,25.16776906955,25.167,24.354,0,7564,1752-00264-1,576-003397,01372508+2510038,,J013724.93+251001.8,292069737612587648,,,STAR,tmgaia2,tmgaia2,-212.522,0.07,-207.704,0.054,gaia2,22.4696,0.0358,gaia2,7.924,0.022,7.003,0.023,,,,,,,,,,,5.38,0.018,4.995,0.016,4.862,0.023,EAA-111-111-000-0-0,4.809,0.266,4.702,0.111,4.868,0.014,4.829,0.026,6.74219,0.000366,6.186,0.006,gbprp,gaia2,5057.0,122.0,,,,,2.339,,,,,,GIANT,,,44.4473,0.0712,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0711,0.0714,bj2018,,,dered0,7.22937,0.002746,6.14643,0.002148,1,sirful,tycho2b3,,1.10751307749,0.83409328156,24.35354816911,25.16687479186,0.03555851039,0.02504794416,0,0,22652598
519,0.126825,9986,HIP 7585,7585,0.648,4.72,0.175,-4.91,23.0,,9.6,Svalues,24.4203,12.0784,112,346923890,24.42033030464,12.07838094907,24.421,12.078,90,7585,0624-00723-1,511-002477,01374088+1204421,,J013740.96+120442.3,2585856120791459840,40472287,,STAR,tmgaia2,tmgaia2,120.15,0.071,6.057,0.065,gaia2,39.2718,0.0405,gaia2,7.431,0.023,6.76,0.023,,,,,,,,,,,5.62,0.02,5.328,0.036,5.22,0.016,AAA-111-111-000-0-0,5.218,0.161,5.098,0.042,5.268,0.015,5.228,0.029,6.60117,0.000348,6.171,0.006,gbprp,spect,5787.0,106.9,4.4173,0.0709,0.07,0.1,1.045,0.044,1.04,0.131,0.9126,0.1808,DWARF,1.10238,0.02894,25.4448,0.0265,0.0,0.0,31,0.0001,,,0.0,0.0,0.0,,0.124,0.138,0.048,0.039,0.1919,0.1698,0.0773,0.0644,0.03735,0.02052,0.0264,0.0265,bj2018,118.2,95.6,spect,6.95673,0.002396,6.13614,0.006963,1,sirful,tycho2b3,,1.10293415504,1.01494126598,24.42085932853,12.07840702883,0.03533821086,0.02987949529,1,0,22647165
520,0.101064,10126,HIP 7733,7733,0.733,5.08,0.168,-4.98,34.0,,9.71,Svalues,24.8999,28.111,113,26761835,24.89989123067,28.11102698667,28.112,24.902,0,7733,1755-02664-1,591-004151,01393588+2806395,,,301843159033054848,46630547,,STAR,tmgaia2,tmgaia2,501.203,0.071,145.123,0.079,gaia2,31.4644,0.0426,gaia2,8.465,0.056,7.734,0.011,,,,,,,,,,,6.43,0.02,6.119,0.023,6.04,0.023,AAA-111-111-000-0-0,,,,,,,,,7.54627,0.000296,7.076,0.006,gbprp,spect,5540.6,144.8,4.4932,0.0862,0.02,0.03,0.929,0.056,0.98,0.126,1.2219,0.2962,DWARF,0.73292,0.01803,31.7528,0.0433,0.0,0.0,52,0.0009,,,0.007375,0.0,0.0,,0.104,0.148,0.067,0.044,0.2843,0.308,0.0806,0.0918,0.0208,0.01527,0.0433,0.0433,bj2018,129.6,160.0,spect,7.93911,0.001298,7.03788,0.002041,1,mermil,mermil,,1.13242319727,1.21984844825,24.90233779387,28.11165184351,0.0348266876,0.03489125042,1,0,22447914
521,0.113208,10086,HIP 7734,7734,0.69,4.95,0.275,-4.6,15.0,,9.12,Svalues,24.9001,45.8778,114,327349605,24.90007456008,45.87777401522,45.877,24.901,0,7734,3278-01292-1,680-009370,01393600+4552401,,,350664155368182656,,,STAR,tmgaia2,tmgaia2,217.675,0.099,-227.989,0.1,gaia2,47.393,0.0671,gaia2,7.279,0.145,6.617,0.001,,,,,,,,,,,5.353,0.026,5.022,0.036,4.977,0.016,AAA-111-111-000-0-0,,,,,,,,,6.4302,0.000861,5.982,0.006,gbprp,spect,5692.7,105.8,4.468,0.0706,0.1176,0.0241,0.971,0.04,1.01,0.12,1.1034,0.2133,DWARF,0.892,0.02185,21.0874,0.03,0.0,0.0,184,0.0009,,,0.008501,0.0,0.0,,0.157,0.082,0.039,0.041,0.1676,0.259,0.0545,0.0866,0.02261,0.02109,0.03,0.03,bj2018,90.5,121.2,spect,6.79761,0.003483,5.94199,0.005617,1,mermil,mermil,,1.67028744615,1.5494378114,24.90142075873,45.87679240381,0.05934233231,0.04449677953,1,0,22639956
522,0.152587,10145,HIP 7902,7902,0.691,4.88,0.16,-5.01,30.0,,9.76,Svalues,25.4072,66.9099,115,279209741,25.40720838006,66.90994225779,66.909,25.415,0,7902,4043-00713-1,785-005552,01413768+6654359,,,519478154178249728,,,STAR,tmgaia2,tmgaia2,692.707,0.042,-265.728,0.044,gaia2,26.6409,0.0296,gaia2,8.386,0.057,7.697,0.017,,,,,,,,,,,6.45,0.024,6.112,0.026,6.063,0.018,AAA-111-111-000-0-0,,,,,,,,,7.51944,0.0002,7.068,0.006,gbprp,spect,5650.0,143.0,4.3852,0.0886,-0.03,0.1,1.063,0.061,1.0,0.134,0.833,0.2074,DWARF,1.03701,0.02465,37.4955,0.0419,0.0,0.0,455,0.0046,,,0.000758,0.0,0.0,,0.14,0.128,0.058,0.064,0.1468,0.2681,0.096,0.0812,0.02611,0.02318,0.0419,0.042,bj2018,113.2,172.8,spect,7.89139,0.001023,7.0295,0.001488,1,mermil,mermil,,0.78849764557,0.6863677844,25.41481332491,66.90879833329,0.02275909062,0.02225925449,1,0,23469947
523,0.077757,10476,HIP 7981,7981,0.836,5.87,0.186,-4.95,41.0,,9.66,Svalues,25.624,20.2685,116,113710966,25.6240145562,20.26851673511,25.623,20.266,90,7981,1211-01733-1,552-003413,01422977+2016073,,,96331172942614528,,,STAR,tmgaia2,tmgaia2,-301.592,0.294,-674.505,0.282,gaia2,131.49,0.1515,gaia2,6.09,0.02,5.252,0.023,,,,,,,,,,,3.855,0.24,3.391,0.226,3.285,0.266,DDD-333-111-000-0-0,,,,,,,,,5.01159,0.004696,4.489,0.008,gbprp,spect,5190.0,106.3,4.5413,0.081,-0.02,0.1,0.833,0.042,0.88,0.113,1.5228,0.3396,DWARF,0.45351,0.01008,7.6035,0.0088,0.0,0.0,31,0.0006,,,0.010548,0.0,0.0,,0.078,0.147,0.043,0.04,0.3044,0.3747,0.0734,0.0886,0.00795,0.01221,0.0088,0.0088,bj2018,94.1,118.5,spect,5.46363,0.003876,4.45345,0.009381,1,sirful,tycho2b3,,4.62519064715,4.37459488654,25.62263032255,20.26561262177,0.1289109165,0.13169935016,1,0,23425386
524,0.198687,10486,HIP 8044,8044,1.02,2.61,0.201,,,,,Svalues,25.8188,45.3226,117,327601622,25.8187659933,45.32264974249,45.323,25.82,0,8044,3279-02472-1,677-008868,01431648+4519216,,J014316.62+451921.8,350423224882432128,,,STAR,tmgaia2,tmgaia2,139.476,0.091,5.363,0.11,gaia2,17.9628,0.0961,gaia2,7.37,0.018,6.34,0.023,,,,,,,,,,,4.545,0.258,4.292,0.02,4.091,0.017,DAA-311-111-000-0-0,4.054,0.298,3.875,0.154,4.075,0.014,4.022,0.024,6.08119,0.000865,5.496,0.006,gbprp,gaia2,4913.0,122.0,,,,,4.27,,,,,,GIANT,,,55.5839,0.2993,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.2977,0.3008,bj2018,,,dered0,6.59935,0.002974,5.45204,0.002477,1,sirful,tycho2b3,,1.52460911474,1.71141786252,25.81962008234,45.32267283525,0.05959323363,0.05403879611,0,0,23550951
525,0.175369,,HIP 8051,8051,1.525,10.67,1.265,,,,,Svalues,25.8341,4.3217,118,369534824,25.83407843764,4.32165628808,25.832,4.318,90,8051,0032-01005-1,472-002320,01432015+0419172,,,2560771312759450624,,,STAR,tmgaia2,tmgaia2,-422.187,0.09,-765.21,0.076,gaia2,88.3392,0.0453,gaia2,12.561,0.269,10.93,0.1,,,,,,,,,,,7.37,0.024,6.809,0.042,6.516,0.023,AAA-111-111-000-0-0,,,,,,,,,9.89833,0.00113,8.762,0.007,cdwrf,cdwrf,3509.0,157.0,4.8192,0.004,,,0.408,0.012,0.401,0.02,5.8937,0.2311,DWARF,0.02275,0.00546,11.3163,0.0058,0.0,0.0,23,0.0003,,,0.014274,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,11.1757,0.003418,8.81108,0.001816,1,cdwrf,tycho2b3,cooldwarfs_v8,1.39909757071,1.18481348712,25.83225550495,4.31836163607,0.04282902764,0.03480030865,1,0,23567104
